"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"Lang"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Followers"	"Friends"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/1895665375/status/593524297848659970"	""	"0"	"Wed Apr 29 21:16:34 +0000 2015"	"0"	"0"	"en"	"0"	""	""	""	"Tann_Matt"	"@MakeANoteOfThat @xdanni1984x @GameOfThrones That glance was a message to Stannis from Jon. I get shit done. Don't fuck with this, Stannis."	"1223"	"1054"	"@jennova1022 owns my heart "	""	""
"http://twitter.com/278622498/status/593527783441072128"	""	"0"	"Wed Apr 29 21:30:25 +0000 2015"	"0"	"0"	"en"	"0"	""	""	""	"Maroofio"	"For the final shot of the last ever episode they should have Gendry finally reaching land. #GameofThrones"	"121"	"322"	"Behind You"	"Arizona"	"-25200"
"http://twitter.com/2701647457/status/593599381296680960"	""	"0"	"Thu Apr 30 02:14:55 +0000 2015"	"0"	"0"	"en"	"1"	"https://t.co/aIhVfxow6t"	""	""	"MiPandis"	"love bruno hooligan foreve https://t.co/aIhVfxow6t"	"12"	"81"	""	""	""
"http://twitter.com/1164550620/status/593521529096310787"	""	"0"	"Wed Apr 29 21:05:34 +0000 2015"	"0"	"0"	"en"	"1"	"http://t.co/o48SBcrqYs"	""	""	"Spidey4909"	"#GameofThrones - "High Sparrow" review http://t.co/o48SBcrqYs #SophieTurner #KitHarrington #NatalieDormer #PeterDinklage #LenaHeadey"	"927"	"810"	""	"Casablanca"	"3600"
"http://twitter.com/3165075268/status/593498564040392705"	""	"0"	"Wed Apr 29 19:34:18 +0000 2015"	"0"	"0"	"en"	"1"	"https://t.co/h6JJlbGJ…"	""	""	"DelikatW"	"RT @xStevenAnthonyx: How i get down #thanos #infinityGauntlet #joint  #marvle #got  #gameofthrones #dancewithdragons… https://t.co/h6JJlbGJ…"	"1"	"197"	""	""	""
"http://twitter.com/23912549/status/593566351542788096"	""	"0"	"Thu Apr 30 00:03:40 +0000 2015"	"0"	"0"	"en"	"2"	"http://t.co/N2AgUphn7q"	"http://t.co/MX2VxILtyy"	""	"yospecialk"	"RT @NerdApproved: These Manga-Style #GameOfThrones Book Covers Look Wicked http://t.co/N2AgUphn7q http://t.co/MX2VxILtyy"	"223"	"457"	"Konohagakure"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/3102895225/status/593501239679193088"	""	"0"	"Wed Apr 29 19:44:56 +0000 2015"	"0"	"0"	"en"	"2"	"http://t.co/2T3KVPWfVs"	"http://t.co/IlG0YzBCsM"	""	"taylorswiftpops"	"RT GameOfThrones: Behold, the #BeautifulDeath from #GoTSeason5 Episode 2 by RobertMBall. … http://t.co/2T3KVPWfVs http://t.co/IlG0YzBCsM"	"343"	"94"	""	"Chennai"	"19800"
"http://twitter.com/186069992/status/593501740453867520"	""	"0"	"Wed Apr 29 19:46:56 +0000 2015"	"0"	"0"	"en"	"0"	""	""	""	"Daniel_Diosdado"	"So is the winter ever going to come? #GameofThrones @HBO @GameOfThrones #TV #Fantasy"	"769"	"780"	"New York, USA"	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/2783560496/status/593547338867576832"	""	"0"	"Wed Apr 29 22:48:07 +0000 2015"	"0"	"0"	"en"	"0"	""	""	""	"drewskie31"	"Finally started watching #GameofThrones"	"65"	"168"	"College Station"	""	""
"http://twitter.com/78630656/status/593532922142986241"	""	"0"	"Wed Apr 29 21:50:50 +0000 2015"	"0"	"0"	"fr"	"1"	"https://t.co/8Zl0rfFE3G"	""	""	"iCatpuntcat"	"RT @CrisBordas: Si l'aspecte dels personatges de #GameOfThrones fos fidel a la ment de George R.R. Martin... https://t.co/8Zl0rfFE3G"	"20626"	"898"	"Catalunya"	"Paris"	"7200"
"http://twitter.com/3102895225/status/593568607822544897"	""	"0"	"Thu Apr 30 00:12:38 +0000 2015"	"0"	"0"	"es"	"2"	"http://t.co/2T3KVPEF3U"	"http://t.co/1XnYZgDQNL"	""	"taylorswiftpops"	"Nuestro #PersonajeGQ de la semana es el actor de GameOfThrones Nikolaj Coster-Waldau: … http://t.co/2T3KVPEF3U http://t.co/1XnYZgDQNL"	"342"	"94"	""	"Chennai"	"19800"
"http://twitter.com/610040042/status/593533651624701952"	""	"0"	"Wed Apr 29 21:53:44 +0000 2015"	"0"	"0"	"en"	"1"	"http://t.co/Sb9kVWNv3W"	""	""	"AidanChap"	"RT @GoT_Tyrion: If you were Tommen, you'd be trying to break that record too... 💯 #GameofThrones http://t.co/Sb9kVWNv3W"	"337"	"734"	""	"London"	"3600"
"http://twitter.com/27654996/status/593542781781602304"	""	"0"	"Wed Apr 29 22:30:01 +0000 2015"	"0"	"0"	"en"	"1"	"https://t.co/4hoBBmZzak"	""	""	"CarlCatron"	"@jaislayed This is my Souled-out cover of the #GameofThrones Theme Song. I hope you love it.#ValarMorghulis https://t.co/4hoBBmZzak"	"8655"	"2225"	"London, England"	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/559476095/status/593519223319580673"	""	"0"	"Wed Apr 29 20:56:24 +0000 2015"	"0"	"0"	"en"	"1"	"http://t.co/aalbVq4rSa"	""	""	"GameOfThrones1v"	"L B #GameOfThrones Game of Thrones: Complete Series Seasons 1-4 Seasons 1 2 3 4 #TV #Series http://t.co/aalbVq4rSa"	"116"	"57"	""	"Urumqi"	"28800"
